Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D4","Orange","LED_1206_2",21.5000,-57.3800,0.0000,top
"F1","0ZCG0110AF2C","Fuse_1812_4532Metric",5.9375,-12.4000,0.0000,top
"Q1","BC807-25","SOT-23",57.5575,-54.9300,0.0000,top
"Q2","BC817-25","SOT-23",59.2700,-50.5425,90.0000,top
"Q3","BC807-25","SOT-23",39.3700,-27.9175,-90.0000,top
"Q4","BC817-25","SOT-23",36.0700,-31.9175,-90.0000,top
"Q6","BC817-25","SOT-23",60.7700,-33.1425,-90.0000,top
"R1","1k","R_0805_2012Metric",53.0000,-36.8725,-90.0000,top
"R2","DNF","R_0805_2012Metric",46.1075,-22.7800,180.0000,top
"R3","5k1","R_0805_2012Metric",58.5325,-10.8800,0.0000,top
"R4","5k1","R_0805_2012Metric",50.6200,-10.5925,-90.0000,top
"R5","27R4","R_0805_2012Metric",47.4000,-37.2800,-90.0000,top
"R6","27R4","R_0805_2012Metric",49.5000,-37.2925,-90.0000,top
"R7","1k","R_0805_2012Metric",46.5652,-51.0252,-45.0000,top
"R8","200R","R_0805_2012Metric",10.8200,-57.3800,180.0000,top
"R9","DNF","R_0805_2012Metric",66.2325,-35.3800,0.0000,top
"R10","100k","R_0805_2012Metric",66.1200,-15.5675,90.0000,top
"R11","DNF","R_0805_2012Metric",46.8200,-17.9800,90.0000,top
"R12","DNF","R_0805_2012Metric",66.2325,-37.4800,0.0000,top
"R13","1k","R_0805_2012Metric",12.8200,-48.6925,-90.0000,top
"R14","1k","R_0805_2012Metric",12.5200,-39.6675,90.0000,top
"R15","100R","R_0805_2012Metric",55.8075,-52.1800,0.0000,top
"R16","100R","R_0805_2012Metric",55.8075,-50.0800,0.0000,top
"R17","200R","R_0805_2012Metric",31.6200,-57.8675,-90.0000,top
"R18","100R","R_0805_2012Metric",39.6000,-35.0925,90.0000,top
"R19","100R","R_0805_2012Metric",38.8200,-31.6800,90.0000,top
"R20","1k","R_0805_2012Metric",55.1000,-44.6000,90.0000,top
"R21","33R","R_0805_2012Metric",19.3200,-44.3675,90.0000,top
"R22","10k","R_0805_2012Metric",31.0125,-50.4600,0.0000,top
"R23","10k","R_0805_2012Metric",34.2200,-37.6925,90.0000,top
"R24","DNF","R_0805_2012Metric",44.6200,-17.9800,90.0000,top
"R25","10k","R_0805_2012Metric",18.3200,-26.3925,-90.0000,top
"R26","20k","R_0805_2012Metric",16.0200,-26.4675,90.0000,top
"R27","1k","R_0805_2012Metric",10.7200,-32.0675,90.0000,top
"R29","390k","R_0805_2012Metric",17.6200,-54.2800,0.0000,top
"R30","1k","R_0805_2012Metric",61.7200,-45.9675,90.0000,top
"R31","100R","R_0805_2012Metric",65.2325,-31.6800,0.0000,top
"R32","33R","R_0805_2012Metric",23.1200,-39.4925,-90.0000,top
"R33","1k","R_0805_2012Metric",59.6200,-45.9675,90.0000,top
"SW1","434133025816","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",56.1200,-30.9350,180.0000,top
"U1","NCP1117-3.3","SOT-223-3_TabPin2",34.0200,-23.5300,-90.0000,top
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",44.0200,-28.7800,-90.0000,top
"U3","USBLC6-2SC6","SOT-23-6",54.5200,-13.5995,90.0000,top
"U4","NCP1117-5.0_SOT223","SOT-223-3_TabPin2",22.6700,-21.0800,180.0000,top
"U5","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",45.7200,-44.6500,0.0000,top
"U6","AT24CS64-SSHM","SOIC-8_3.9x4.9mm_P1.27mm",60.7850,-39.7050,-90.0000,top
"U7","TMC5130A-TA","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias",29.3000,-43.1600,180.0000,top
"Y1","ABLS-12.000MHZ-B4-T ","Crystal_SMD_HC49-SD",45.1000,-56.4600,180.0000,top
